$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:11 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
